N_test, Img_dims, n, s, O or S, nOMP, nMPI, MPI_loc, MPI_rank, Time(sec), MPI_Scv(sec), MPI_Gav(sec), for_loop(sec), Affinity  
 , ,5000 , 2500, S, 1, 15, ,5 , 0.337553,1.5649e-05 ,2.4055e-05 ,1.1242e-05, 


1, 100x100, , , , , ,numa, , , , , , cores close
 , ,5000 , 2500, S, 12, 1, ,0 , 0.217993,1.433e-06 ,4.0305e-05 ,8.31e-07, 
2, 100x100, , , , , ,numa, , , , , , cores close
 , ,5000 , 2500, S, 12, 1, ,0 , 0.216856,1.323e-06 ,3.2431e-05 ,7.71e-07, 
1, 100x100, , , , , ,numa, , , , , , cores close
 , ,5000 , 2500, S, 12, 3, ,0 , 0.150895,5.33e-06 ,1.3205e-05 ,5.35e-06, 
 , ,5000 , 2500, S, 12, 3, ,1 , 0.150187,6.211e-06 ,1.3015e-05 ,4.739e-06, 
 , ,5000 , 2500, S, 12, 3, ,2 , 0.150529,8.346e-06 ,1.2934e-05 ,2.815e-06, 
2, 100x100, , , , , ,numa, , , , , , cores close
 , ,5000 , 2500, S, 12, 3, ,0 , 0.149603,5.17e-06 ,1.3205e-05 ,5.3e-06, 
 , ,5000 , 2500, S, 12, 3, ,1 , 0.149188,5.831e-06 ,1.3264e-05 ,4.638e-06, 
 , ,5000 , 2500, S, 12, 3, ,2 , 0.14962,8.265e-06 ,1.2975e-05 ,2.775e-06, 
1, 100x100, , , , , ,numa, , , , , , cores close
 , ,5000 , 2500, S, 12, 6, ,2 , 0.147333,7.754e-06 ,7.975e-06 ,9.879e-06, 
 , ,5000 , 2500, S, 12, 6, ,3 , 0.146857,8.246e-06 ,7.975e-06 ,9.317e-06, 
 , ,5000 , 2500, S, 12, 6, ,4 , 0.148758,8.416e-06 ,8.136e-06 ,8.886e-06, 
 , ,5000 , 2500, S, 12, 6, ,5 , 0.148334,1.3746e-05 ,8.075e-06 ,3.717e-06, 
 , ,5000 , 2500, S, 12, 6, ,0 , 0.147149,8.676e-06 ,8.075e-06 ,8.516e-06, 
 , ,5000 , 2500, S, 12, 6, ,1 , 0.148267,7.143e-06 ,8.185e-06 ,1.0139e-05, 
2, 100x100, , , , , ,numa, , , , , , cores close
 , ,5000 , 2500, S, 12, 6, ,4 , 0.146779,8.316e-06 ,8.135e-06 ,7.845e-06, 
 , ,5000 , 2500, S, 12, 6, ,5 , 0.14737,1.1782e-05 ,7.895e-06 ,3.837e-06, 
 , ,5000 , 2500, S, 12, 6, ,0 , 0.1486,8.295e-06 ,8.266e-06 ,7.895e-06, 
 , ,5000 , 2500, S, 12, 6, ,1 , 0.148528,6.553e-06 ,8.075e-06 ,9.908e-06, 
 , ,5000 , 2500, S, 12, 6, ,2 , 0.148518,6.973e-06 ,8.095e-06 ,9.358e-06, 
 , ,5000 , 2500, S, 12, 6, ,3 , 0.14692,7.685e-06 ,7.995e-06 ,8.586e-06, 
1, 100x100, , , , , ,numa, , , , , , cores close
 , ,5000 , 2500, S, 12, 9, ,2 , 0.215578,1.2443e-05 ,7.174e-06 ,9.017e-06, 
 , ,5000 , 2500, S, 12, 9, ,4 , 0.212999,1.3416e-05 ,6.322e-06 ,8.876e-06, 
 , ,5000 , 2500, S, 12, 9, ,6 , 0.214916,1.3776e-05 ,7.404e-06 ,7.494e-06, 
